confidence,congestion_level,congestion_ratio,current_speed,current_travel_time,data_source,free_flow_speed,free_flow_travel_time,latitude,longitude,road_closure,timestamp,ingestion_timestamp,data_layer,event_timestamp,hour,day_of_week,day_of_month,month,year,is_weekend,processed_timestamp,temperature,humidity,weather_condition,wind_speed,aqi,pm2_5,pm10,co,no2,weather_severity_index,speed_ratio,delay_time_seconds,gold_processed_timestamp,city_name
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:03:32.662829+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:03:32.662829,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.8,74,Clouds,1.66,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:06:58.736237+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:06:58.736237,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.8,74,Clouds,1.66,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:07:09.369329+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:07:09.369329,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.8,74,Clouds,1.66,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:26:09.531121+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:26:09.531121,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.8,74,Clouds,1.66,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:26:22.783544+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:26:22.783544,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.8,74,Clouds,1.66,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:26:46.470344+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:26:46.470344,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.8,74,Clouds,1.66,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:28:30.430991+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:28:30.430991,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.8,74,Clouds,1.66,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:29:03.300612+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:29:03.300612,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.8,74,Clouds,1.66,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:29:30.732494+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:29:30.732494,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.8,74,Clouds,1.66,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:29:55.734545+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:29:55.734545,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.8,74,Clouds,1.66,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:30:30.877105+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:30:30.877105,10,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.4,75,Clouds,0.89,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:31:43.314968+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:31:43.314968,10,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.4,75,Clouds,0.89,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:32:04.203599+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:32:04.203599,10,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.4,75,Clouds,0.89,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:32:57.845912+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:32:57.845912,10,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.4,75,Clouds,0.89,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,13.0,175,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T04:36:42.072092+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:36:42.072092,10,6,24,7,2026,0,2026-07-24 18:03:25.303786,17.4,75,Clouds,0.89,2,11.33,13.31,106.99,30.34,1,1.0,0,2026-07-24 18:03:38.850026,London
1.0,Medium,0.667,8.0,285,TomTom_API,12.0,190,51.5074,-0.1278,False,2026-07-24T18:01:09.422690+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 18:01:09.422690,23,6,24,7,2026,0,2026-07-24 18:03:25.303786,27.94,41,Clouds,0.45,2,11.08,13.41,117.06,17.09,1,0.6667,95,2026-07-24 18:03:38.850026,London
1.0,Medium,0.615,8.0,285,TomTom_API,13.0,175,51.5074,-0.1278,False,2026-07-24T18:02:41.186389+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 18:02:41.186389,23,6,24,7,2026,0,2026-07-24 18:03:25.303786,27.94,41,Clouds,0.45,2,11.08,13.41,117.06,17.09,1,0.6154,110,2026-07-24 18:03:38.850026,London
1.0,Low,1.0,20.0,132,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T04:03:35.680971+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:03:35.680971,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.85,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,1.0,0,2026-07-24 18:03:38.850026,Mumbai
1.0,Low,1.0,20.0,132,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T04:07:00.875136+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:07:00.875136,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.85,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,1.0,0,2026-07-24 18:03:38.850026,Mumbai
1.0,Low,1.0,20.0,132,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T04:07:11.245729+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:07:11.245729,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.85,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,1.0,0,2026-07-24 18:03:38.850026,Mumbai
0.99,Medium,0.6,12.0,220,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T04:26:14.301750+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:26:14.301750,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.85,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,0.6,88,2026-07-24 18:03:38.850026,Mumbai
0.99,Medium,0.7,14.0,188,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T04:26:25.899579+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:26:25.899579,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.85,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,0.7,56,2026-07-24 18:03:38.850026,Mumbai
0.99,Medium,0.737,14.0,188,TomTom_API,19.0,139,19.076,72.8777,False,2026-07-24T04:26:49.654575+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:26:49.654575,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.85,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,0.7368,49,2026-07-24 18:03:38.850026,Mumbai
0.99,Medium,0.75,15.0,176,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T04:28:32.965772+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:28:32.965772,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.85,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,0.75,44,2026-07-24 18:03:38.850026,Mumbai
0.99,Medium,0.75,15.0,176,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T04:29:05.794863+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:29:05.794863,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.85,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,0.75,44,2026-07-24 18:03:38.850026,Mumbai
0.99,Medium,0.632,12.0,220,TomTom_API,19.0,139,19.076,72.8777,False,2026-07-24T04:29:33.517753+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:29:33.517753,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.85,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,0.6316,81,2026-07-24 18:03:38.850026,Mumbai
0.99,Medium,0.632,12.0,220,TomTom_API,19.0,139,19.076,72.8777,False,2026-07-24T04:29:58.493409+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:29:58.493409,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.85,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,0.6316,81,2026-07-24 18:03:38.850026,Mumbai
0.99,Medium,0.632,12.0,220,TomTom_API,19.0,139,19.076,72.8777,False,2026-07-24T04:30:34.505574+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:30:34.505574,10,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.93,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,0.6316,81,2026-07-24 18:03:38.850026,Mumbai
1.0,Low,1.0,20.0,132,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T04:31:45.711385+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:31:45.711385,10,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.93,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,1.0,0,2026-07-24 18:03:38.850026,Mumbai
1.0,Low,1.0,20.0,132,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T04:32:06.761556+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:32:06.761556,10,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.93,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,1.0,0,2026-07-24 18:03:38.850026,Mumbai
1.0,Low,1.0,20.0,132,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T04:33:00.732938+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:33:00.732938,10,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.93,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,1.0,0,2026-07-24 18:03:38.850026,Mumbai
1.0,Low,1.0,20.0,132,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T04:36:44.982069+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:36:44.982069,10,6,24,7,2026,0,2026-07-24 18:03:25.303786,28.93,79,Rain,11.78,2,6.89,21.55,60.47,0.09,2,1.0,0,2026-07-24 18:03:38.850026,Mumbai
1.0,Low,1.0,20.0,132,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T18:01:15.081989+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 18:01:15.081989,23,6,24,7,2026,0,2026-07-24 18:03:25.303786,27.96,83,Rain,10.49,2,6.53,23.28,61.85,0.12,2,1.0,0,2026-07-24 18:03:38.850026,Mumbai
0.91,Medium,0.75,15.0,176,TomTom_API,20.0,132,19.076,72.8777,False,2026-07-24T18:02:42.813451+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 18:02:42.813451,23,6,24,7,2026,0,2026-07-24 18:03:25.303786,27.96,83,Rain,10.49,2,6.53,23.28,61.85,0.12,2,0.75,44,2026-07-24 18:03:38.850026,Mumbai
1.0,Low,1.0,27.0,11,TomTom_API,27.0,11,40.7128,-74.006,False,2026-07-24T04:03:30.550604+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:03:30.550604,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,21.65,62,Clear,1.79,2,6.79,8.39,134.07,5.69,0,1.0,0,2026-07-24 18:03:38.850026,New York
1.0,Low,1.0,27.0,11,TomTom_API,27.0,11,40.7128,-74.006,False,2026-07-24T04:06:56.768911+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:06:56.768911,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,21.65,62,Clear,1.79,2,6.79,8.39,134.07,5.69,0,1.0,0,2026-07-24 18:03:38.850026,New York
1.0,Low,1.0,27.0,11,TomTom_API,27.0,11,40.7128,-74.006,False,2026-07-24T04:07:07.295581+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:07:07.295581,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,21.65,62,Clear,1.79,2,6.79,8.39,134.07,5.69,0,1.0,0,2026-07-24 18:03:38.850026,New York
1.0,Low,1.0,27.0,11,TomTom_API,27.0,11,40.7128,-74.006,False,2026-07-24T04:26:06.621592+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:26:06.621592,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,21.65,62,Clear,1.79,2,6.79,8.39,134.07,5.69,0,1.0,0,2026-07-24 18:03:38.850026,New York
1.0,Low,1.0,27.0,11,TomTom_API,27.0,11,40.7128,-74.006,False,2026-07-24T04:26:19.495440+00:00,2026-07-24 18:03:04.232633,Gold,2026-07-24 04:26:19.495440,9,6,24,7,2026,0,2026-07-24 18:03:25.303786,21.65,62,Clear,1.79,2,6.79,8.39,134.07,5.69,0,1.0,0,2026-07-24 18:03:38.850026,New York
